Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,Datum,DataQuality,DataQualityIndicator,ResultDisplay,DisplayText,Censored,AnalyteDisplay,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,MatrixDisplay,Region
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Coastal Lagoons,RWB3_Lagoons_2016,Old Salinas River @ Potrero Rd,309POT,8/24/2016 0:00,1899-12-30 09:00:00,Midchannel,2.0,cm,Integrated,1,1,MPSL-DFG_2016Dig23_S_TM,2016-2237,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,6.37,,0.1,0.3,=,,VAC,Com,Upstream of Potero Road,6 grabs over a 20m area. Field duplicate collected at this sample site.,,,WQ,CCAMP_Field_2014,RWQCB3,,Sediment_Grab,36.79076898,-121.78932,Eckman Grab,,,LabFrozen,8/24/2016 15:30,EPA 3052M,11/28/2016 0:00,3/15/2017 0:00,1,,MPSL-DFW,MPSL-DFW,A,,,,,,,,,,,,,,,,,,Arsenic,NAD83,Passed,,6.37,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Coastal Lagoons,RWB3_Lagoons_2016,Santa Maria Estuary upper,312SMEU,8/22/2016 0:00,1899-12-30 13:00:00,Midchannel,2.0,cm,Integrated,1,1,MPSL-DFG_2016Dig23_S_TM,2016-2180,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,7.97,,0.1,0.3,=,,VAC,Com,MH Pesticide fungicide microcystin data to WCPL lost in shipment Resampled on 30 Aug 2016,Collected over a 30m area in bend   Sediment had an odor of sulfides,,,WQ,CCAMP_Field_2014,RWQCB3,,Sediment_Grab,34.961537,-120.647414,"scoop, polyethylene",,,LabFrozen,8/23/2016 16:24,EPA 3052M,11/28/2016 0:00,3/15/2017 0:00,1,,MPSL-DFW,MPSL-DFW,A,,,,,,,,,,,,,,,,,,Arsenic,NAD83,Passed,,7.97,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Harbors Study,CCAMP Harbor Study_2004,Monterey Harbor random site 28,309MTRY28,6/24/2004 0:00,1899-12-30 12:04:00,OpenWater,2.0,cm,Integrated,1,1,2004Dig46,2004-3327,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,17.3,,1.8,5.0,=,,VAC,Com,,,,No certified CRM for Al in seds,WQ,EMAP_CSTL,MPSL-MLML,,Sediment_Grab,36.60359,-121.89072,"MPSL-MLML Mod.VanVeen Grab-Dbl_0.05m2, 0.05m2",,Not Applicable,,1/1/1950 0:00,EPA 3052M,10/5/2004 0:00,12/2/2004 0:00,1,,MPSL-DFW,MPSL-DFW,A,RV_MSB1,,-88.0,m,-88.0,m,4.2,m,,,4 grabs to obtain sample,,,,,,,Arsenic,NAD83,Passed,,17.3,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Harbors Study,CCAMP Harbor Study_2004,Santa Barbara Harbor random site 11,315SBRB11,6/21/2004 0:00,1899-12-30 18:37:00,OpenWater,2.0,cm,Integrated,1,1,2004Dig47,2004-3341,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,9.46,,1.8,5.0,=,,VAC,Com,,,,"LAB:certified CRM for Al in seds; Zn CRM PR low, but MS/MSD and Dup within DQO",WQ,EMAP_CSTL,MPSL-MLML,,Sediment_Grab,34.40697,-119.69026,"MPSL-MLML Mod.VanVeen Grab-Dbl_0.05m2, 0.05m2",,Not Applicable,,1/1/1950 0:00,EPA 3052M,10/5/2004 0:00,11/30/2004 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",RV_MSB1,,-88.0,m,-88.0,m,4.8,m,,, 4 grabs to obtain sample,,,,,,,Arsenic,NAD83,Passed,,9.46,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Harbors Study,CCAMP Harbor Study_2004,Santa Barbara Harbor random site 13,315SBRB13,6/21/2004 0:00,1899-12-30 13:46:00,OpenWater,2.0,cm,Integrated,1,1,2004Dig47,2004-3342,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,15.1,,1.8,5.0,=,,VAC,Com,,,,"LAB:certified CRM for Al in seds; Zn CRM PR low, but MS/MSD and Dup within DQO",WQ,EMAP_CSTL,MPSL-MLML,,Sediment_Grab,34.40594,-119.6927,"MPSL-MLML Mod.VanVeen Grab-Dbl_0.05m2, 0.05m2",,Not Applicable,,1/1/1950 0:00,EPA 3052M,10/5/2004 0:00,11/30/2004 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",RV_MSB1,,-88.0,m,-88.0,m,5.4,m,,, 4 grabs to obtain sample,,,,,,,Arsenic,NAD83,Passed,,15.1,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Harbors Study,CCAMP Harbor Study_2004,Santa Barbara Harbor random site 27,315SBRB27,6/21/2004 0:00,1899-12-30 12:22:00,OpenWater,2.0,cm,Integrated,1,1,2004Dig47,2004-3344,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,12.0,,1.8,5.0,=,,VAC,Com,,,,"LAB:certified CRM for Al in seds; Zn CRM PR low, but MS/MSD and Dup within DQO",WQ,EMAP_CSTL,MPSL-MLML,,Sediment_Grab,34.40493,-119.69394,"MPSL-MLML Mod.VanVeen Grab-Dbl_0.05m2, 0.05m2",,Not Applicable,,1/1/1950 0:00,EPA 3052M,10/5/2004 0:00,11/30/2004 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",RV_MSB1,,-88.0,m,-88.0,m,2.6,m,,, 5 grabs to obtain sample,,,,,,,Arsenic,NAD83,Passed,,12.0,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Santa Barbara Rotation,CCAMP Santa Barbara 2014,Santa Barbara Harbor at Dock F,315SBHF,9/16/2014 0:00,1899-12-30 11:57:00,OpenWater,2.0,cm,Grab,1,1,MPSL-DFG_2015Dig06_S_TM,2014-3384,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,19.3,,0.1,0.3,=,,"VAC,VMD",Com,,,,QADM: FIELD DUP >25%,WQ,CCAMP_Field_2014,RWQCB3,,Sediment_Grab,34.40471,-119.691619,Eckman Grab,,,LabFrozen,9/17/2014 9:00,EPA 3052M,3/19/2015 0:00,4/1/2015 0:00,1,,MPSL-DFW,MPSL-DFW,A,,,,,,,,,,,,,,,,,,Arsenic,NAD83,Some review needed,"BatchVerification:VAC,VMD",19.3,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Santa Barbara Rotation,CCAMP Santa Barbara Rotation_2002,Sycamore Creek at Punta Gorda,315SCC,3/25/2002 0:00,1899-12-30 16:15:00,Not Recorded,2.0,cm,Integrated,1,1,2002Dig61R,02-0740,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,5.45,,0.05,0.1,=,,VAC,Com,sampled underneath bridge; very nasty,,,"QAO: MS/MSD RPD for manganese above QC limit, MS/MSD &R for manganese and silver below limit",WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,34.42087798,-119.66961,"scoop, polyethylene",,,,1/1/1950 0:00,EPA 3052M,10/15/2002 0:00,1/31/2003 0:00,1,,MPSL-DFW,MPSL-DFW,A,Walk In,NR,-88.0,m,3.5,m,0.1,m,NR,,found fine grain underneath bridge,,,,,,,Arsenic,NAD83,Passed,,5.45,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Santa Maria Rotation,CCAMP Santa Maria Rotation 2013,Blosser Channel below groundwater recharge ponds,312BCD,6/24/2013 0:00,1899-12-30 11:39:00,Bank,2.0,cm,Integrated,1,1,MPSL-DFG_2013Dig21_S_TM,2013-2170,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,2.9,,0.1,0.3,=,,VAC,Com,,"Metals sample to MLML via MTA, plus OCH Pesticides and Pyrethroids (WPCL) and Tox.",,Ag dup RPD high; results near RL,WQ,CCAMP_Field_2012,RWQCB3,,Sediment_Grab,34.98642698,-120.45306,"scoop, polyethylene",,,LabFrozen,6/25/2013 10:30,EPA 3052M,8/28/2013 0:00,1/21/2014 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Arsenic,NAD83,Passed,,2.9,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
Surface Water Ambient Monitoring Program,SWAMP RWB3 CCAMP Santa Maria Rotation,CCAMP Santa Maria Rotation 2013,Orcutt Creek at Brown Road,312GVT,6/24/2013 0:00,1899-12-30 14:21:00,Bank,2.0,cm,Integrated,1,1,MPSL-DFG_2013Dig21_S_TM,2013-2174,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,7.6,,0.1,0.3,=,,VAC,Com,,"Metals sample to MLML via MTA, plus OCH Pesticides and Pyrethroids (WPCL) and Tox.",,Ag dup RPD high; results near RL,WQ,CCAMP_Field_2012,RWQCB3,,Sediment_Grab,34.93395,-120.55787,"scoop, polyethylene",,,LabFrozen,6/25/2013 10:30,EPA 3052M,8/28/2013 0:00,1/21/2014 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Arsenic,NAD83,Passed,,7.6,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,3
