Analyte,Unit
"Arsenic, Total",mg/Kg dw
"Cadmium, Total",mg/Kg dw
"Chromium, Total",mg/Kg dw
"Nitrogen, Total, Total",mg/L
"Oxygen, Dissolved, Total",mg/L
"Phosphorus as P, Total",mg/L
"Total Organic Carbon, Total",mg/L
"Turbidity, Total",NTU
pH,none
