WaterQualityID,StationCode,StationName,TargetLatitude,TargetLongitude,Region,SampleDate,"Arsenic, Total","Cadmium, Total","Chromium, Total","Nitrogen, Total, Total","Oxygen, Dissolved, Total","Phosphorus as P, Total","Total Organic Carbon, Total","Turbidity, Total",pH,SampleYear,index_right,FIRE_NAME,ALARM_DATE,FireYear,GIS_ACRES
25016,513CCNASC,"Cache Creek, NF ~0.4mi above Spanish Cr.",39.165446,-122.619986,5,2018-10-29,,,,6.66,8.42,0.463,,0.25,8.7,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
25067,513STCAIV,Stanton Creek ~1.4mi above Indian Valley Res.,39.1846,-122.5356,5,2018-10-26,,,,0.33,9.63,0.049,,0.06,8.9,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
25061,513STCAIV,Stanton Creek ~1.4mi above Indian Valley Res.,39.1846,-122.5356,5,2018-07-11,,,,-0.005,8.26,0.067,,0.29,8.5,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
25076,513UNCAKC,Unnamed Creek,39.16692,-122.50673,5,2018-10-25,,,,0.24,8.54,0.257,,0.1,,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
25845,514SFA222,Silver Fork American River at Silver Fork Rd.,38.69487,-120.20136,5,2021-10-21,,,,,,,,5.04,9.4,2021,1146.0,CALDOR,2021-08-15 00:00:00+00:00,2021.0,221786.39
25846,514SFA222,Silver Fork American River at Silver Fork Rd.,38.69487,-120.20136,5,2021-08-17,,,,,8.03,0.04,,2.09,8.3,2021,1146.0,CALDOR,2021-08-15 00:00:00+00:00,2021.0,221786.39
27212,518CPCRCR,Chips Creek,40.0055,-121.271,5,2021-07-15,,,,,7.3,0.02,,0.46,8.14,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27213,518CPCRCR,Chips Creek,40.0055,-121.271,5,2008-08-14,,,,,,0.0219,,0.88,7.6,2008,5718.0,BTU LIGHTNING COMPLEX,2008-07-02 00:00:00+00:00,2008.0,53699.332
27220,518FC1350,Clear Creek below Seneka Rd.,40.11089,-121.1254,5,2021-06-01,,,,,8.1,0.03,,0.45,7.83,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27296,518PS0017,South Branch Middle Fork Feather River,39.70612,-121.20361,5,2008-08-19,,,,,,0.0219,,0.49,,2008,5749.0,SOUTH-FREY,2008-06-21 00:00:00+00:00,2008.0,12401.953
27307,518PS0093,Little Grizzly Creek ~2.1mi below Oliver Cr.,39.9982,-120.7378,5,2021-07-13,,,,,6.62,0.04,,0.28,8.33,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27309,518PS0113,Grizzly Creek ~0.3mi above Yellow Cr.,40.0713,-121.2563,5,2012-07-09,,,,0.118,8.17,0.0099,,0.49,7.6,2012,4588.0,CHIPS,2012-07-28 00:00:00+00:00,2012.0,76349.71
27324,518RCAJNC,Rock Creek ~5.7mi above Jennie Creek,40.3887,-121.1574,5,2021-05-26,,,,,8.07,,,0.7,8.2,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27319,518RCAJNC,Rock Creek ~5.7mi above Jennie Creek,40.3887,-121.1574,5,2021-06-28,,,,,6.65,0.04,,0.26,8.12,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27325,518RCAJNC,Rock Creek ~5.7mi above Jennie Creek,40.3887,-121.1574,5,2021-07-26,,,,,7.71,0.04,,0.14,8.21,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27339,518RCNAPC,"Rice Creek, North Arm",40.4002,-121.439,5,2021-07-19,,,,,,0.07,,0.35,8.17,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27347,518SCEBAM,"Soda Creek, EB above mainstem",40.045,-121.0017,5,2021-05-05,,,,,6.21,,,0.1,,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
27408,518YLCAFR,Yellow Creek ~0.4mi above NF Feather River,40.012071,-121.2475051,5,2021-09-07,,,,,,0.03,,1.4,8.8,2021,1144.0,DIXIE,2021-07-14 00:00:00+00:00,2021.0,963405.44
31921,520BUT900,Butte Creek at Honey Run Bridge,39.728416,-121.703799,5,2008-08-31,,,,,,,,,8.5,2008,5733.0,HUMBOLDT,2008-06-11 00:00:00+00:00,2008.0,23344.334
32521,521BUT204,Hamlin Creek at Paradise,39.74329,-121.62914,5,2018-12-17,,,,,,,1.82,23.5,7.22,2018,2356.0,CAMP,2018-11-08 00:00:00+00:00,2018.0,153335.56
32536,521BUT205,Clear Creek at Paradise,39.75238,-121.60515,5,2018-12-17,,,,,10.31,0.047,2.13,9.77,,2018,2356.0,CAMP,2018-11-08 00:00:00+00:00,2018.0,153335.56
32550,521BUT206,Dry Creek at Paradise,39.75227,-121.57667,5,2018-12-17,,,,,10.56,0.04,,20.3,7.3,2018,2356.0,CAMP,2018-11-08 00:00:00+00:00,2018.0,153335.56
35982,532ELD011,Grizzly Creek at Parkside Drive,38.63734,-120.51978,5,2021-11-09,,,,,9.99,,,35.9,7.19,2021,1146.0,CALDOR,2021-08-15 00:00:00+00:00,2021.0,221786.39
35981,532ELD011,Grizzly Creek at Parkside Drive,38.63734,-120.51978,5,2021-12-14,,,,,,,,30.2,7.85,2021,1146.0,CALDOR,2021-08-15 00:00:00+00:00,2021.0,221786.39
35985,532ELD012,Grizzly Creek at Leoni Road,38.63409,-120.52445,5,2021-11-09,,,,,8.21,,,13.2,,2021,1146.0,CALDOR,2021-08-15 00:00:00+00:00,2021.0,221786.39
35984,532ELD012,Grizzly Creek at Leoni Road,38.63409,-120.52445,5,2021-12-14,,,,,9.91,,,76.0,7.41,2021,1146.0,CALDOR,2021-08-15 00:00:00+00:00,2021.0,221786.39
35987,532ELD013,"Cosumnes River, Steely Fork at Leoni Road",38.63158,-120.5093,5,2021-11-09,,,,,10.57,,,299.0,7.0,2021,1146.0,CALDOR,2021-08-15 00:00:00+00:00,2021.0,221786.39
36240,534SED001,Arnot Cr 1,38.407354,-119.7993617,5,2018-07-25,,,,0.83,9.0,0.011,,0.21,8.3,2018,2366.0,DONNELL,2018-08-01 00:00:00+00:00,2018.0,36461.418
38313,536TUO301,Clavey River at Gods Bath,37.98615,-120.05279,5,2013-06-17,,,,,9.48,,,0.25,7.58,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38312,536TUO301,Clavey River at Gods Bath,37.98615,-120.05279,5,2013-07-17,,,,,8.94,,,0.2,7.84,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38314,536TUO301,Clavey River at Gods Bath,37.98615,-120.05279,5,2013-08-14,,,,,,,,0.26,9.65,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38317,536TUO302,Tuolumne River at Meryls Pool,37.83683,-120.05379,5,2013-06-17,,,,,10.19,,,0.99,7.45,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38316,536TUO302,Tuolumne River at Meryls Pool,37.83683,-120.05379,5,2013-07-17,,,,,9.4,,,0.2,,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38320,536TUO302,Tuolumne River at Meryls Pool,37.83683,-120.05379,5,2013-08-14,,,,,9.59,,,0.75,7.68,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38327,536TUO900,Rainbow Pools - SF Tuolumne River,37.82145,-120.0129833,5,2013-06-17,,,,,,,,0.3,7.7,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38326,536TUO900,Rainbow Pools - SF Tuolumne River,37.82145,-120.0129833,5,2013-07-17,,,,,,,,0.46,7.84,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
38330,536TUO900,Rainbow Pools - SF Tuolumne River,37.82145,-120.0129833,5,2013-08-14,,,,,,,,0.81,7.9,2013,4290.0,RIM,2013-08-17 00:00:00+00:00,2013.0,256175.53
46668,552MFCAKR,Mill Flat Creek,36.8529,-119.09738,5,2015-05-13,,,,0.157,,0.0066,,8.05,8.8,2015,3740.0,ROUGH,2015-07-31 00:00:00+00:00,2015.0,151546.81
47074,554KER040,Keyesville Rec Area,35.639,-118.4846,5,2002-12-11,,,,,8.35,0.36,,,7.8,2002,7752.0,BOREL,2002-06-15 00:00:00+00:00,2002.0,3417.8994
47063,554KER040,Keyesville Rec Area,35.639,-118.4846,5,2002-03-27,,,,,,,,,8.5,2002,7752.0,BOREL,2002-06-15 00:00:00+00:00,2002.0,3417.8994
47062,554KER040,Keyesville Rec Area,35.639,-118.4846,5,2002-06-19,,,,,8.87,,,,8.5,2002,7752.0,BOREL,2002-06-15 00:00:00+00:00,2002.0,3417.8994
47080,554KER040,Keyesville Rec Area,35.639,-118.4846,5,2002-09-17,,,,,,0.066,,,8.1,2002,7752.0,BOREL,2002-06-15 00:00:00+00:00,2002.0,3417.8994
47156,554NYCGWD,Nobe Young Creek ~0.2mi above Great Western Divide Hwy,36.020505,-118.5668582,5,2021-06-08,,,,,6.8,0.05,,1.35,7.71,2021,1151.0,WINDY,2021-09-10 00:00:00+00:00,2021.0,97528.266
47161,554PS0160,Kelso Creek,35.46624,-118.3258,5,2008-08-05,,,,,3.34,0.375,,4.27,7.75,2008,5721.0,PIUTE,2008-06-28 00:00:00+00:00,2008.0,37346.246
47620,602LWT001,Lower Wet Fork Sawmill Cr/Glass,37.82313,-118.65232,6,2006-06-28,,,,,,0.04,,,7.74,2006,6521.0,SAWMILL,2006-09-14 00:00:00+00:00,2006.0,7437.1104
48604,628SHP001,"Sheep Cr, below Scout Camp",34.25364,-117.12391,6,2003-03-20,,,,,9.7,,,,,2003,7398.0,OLD,2003-10-25 00:00:00+00:00,2003.0,91428.0
