Analyte,R²,top_feature,n
pH,0.1878,days_since_fire,877
Nitrogen,0.0753,TargetLatitude,403
Phosphorus as P,0.0167,TargetLatitude,628
Turbidity,0.0049,days_since_fire,987
Oxygen,-0.0445,days_since_fire,874
